model,fork_travel,fork_a2c,horst_pivot,headset_cup,shock_extension,is_stock,head_tube_angle,seat_tube_angle,bb_height,bb_drop,reach,stack,chainstay,wheelbase,front_center,trail,mechanical_trail,wheel_flop,effective_top_tube,standover,rear_wheel_travel,shock,leverage_ratio,rear_sag_mm_range,rear_sag_pct_range,fork_sag_applied,rear_sag_applied
Levo 4 EVO,170.0,587.0,Short,-1 deg,n/a,False,61.84,75.56,311.1,68.9,465.0,649.6,437.7,1258.1,825.4,153.0,134.9,63.7,631.2,717.3,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,170.0,587.0,Short,0 deg,n/a,False,62.84,75.24,313.5,66.5,461.4,652.2,437.7,1247.0,813.9,145.0,129.0,58.9,632.1,719.1,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,170.0,587.0,Short,+1 deg,n/a,False,63.85,74.94,315.8,64.2,457.9,654.6,437.7,1235.8,802.3,137.1,123.0,54.2,633.0,720.9,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,170.0,587.0,Long,-1 deg,n/a,False,61.02,74.74,299.3,80.7,455.7,656.2,450.6,1268.6,825.4,159.7,139.7,67.7,633.6,704.0,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,170.0,587.0,Long,0 deg,n/a,False,62.02,74.42,301.8,78.2,452.0,658.8,450.6,1257.6,813.9,151.5,133.8,62.8,634.6,705.9,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,170.0,587.0,Long,+1 deg,n/a,False,63.02,74.11,304.2,75.8,448.4,661.2,450.6,1246.5,802.3,143.6,127.9,58.0,635.6,707.7,170.0,230 x 62.5,2.720,46-50,27-30%,25.5,48.3
Levo 4 EVO,180.0,597.0,Short,-1 deg,n/a,False,61.50,75.22,313.7,66.3,461.2,652.4,437.7,1262.0,828.8,155.7,136.9,65.3,632.2,719.2,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
Levo 4 EVO,180.0,597.0,Short,0 deg,n/a,True,62.50,74.90,316.1,63.9,457.5,655.0,437.7,1250.7,817.1,147.7,131.0,60.5,633.1,721.1,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
Levo 4 EVO,180.0,597.0,Short,+1 deg,n/a,False,63.50,74.58,318.5,61.5,453.9,657.5,437.7,1239.4,805.4,139.8,125.1,55.8,634.1,722.9,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
Levo 4 EVO,180.0,597.0,Long,-1 deg,n/a,False,60.68,74.40,301.9,78.1,451.8,658.9,450.6,1272.6,828.8,162.4,141.6,69.3,634.6,706.0,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
Levo 4 EVO,180.0,597.0,Long,0 deg,n/a,False,61.68,74.08,304.5,75.5,448.1,661.4,450.6,1261.5,817.1,154.3,135.8,64.4,635.6,707.9,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
Levo 4 EVO,180.0,597.0,Long,+1 deg,n/a,False,62.67,73.76,307.0,73.0,444.4,663.9,450.6,1250.2,805.4,146.3,130.0,59.7,636.7,709.7,170.0,230 x 62.5,2.720,46-50,27-30%,27.0,48.3
