model,fork_travel,fork_a2c,horst_pivot,headset_cup,shock_extension,is_stock,head_tube_angle,seat_tube_angle,bb_height,bb_drop,reach,stack,chainstay,wheelbase,front_center,trail,mechanical_trail,wheel_flop,effective_top_tube,standover,rear_wheel_travel,shock,leverage_ratio,rear_sag_mm_range,rear_sag_pct_range,fork_sag_applied,rear_sag_applied
Levo 4 EVO,170.0,587.0,Short,-1 deg,n/a,False,63.00,76.72,350.5,29.5,478.1,640.0,435.0,1270.6,835.8,143.7,128.0,58.1,628.1,758.8,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,170.0,587.0,Short,0 deg,n/a,False,64.01,76.41,352.9,27.1,474.6,642.6,435.0,1258.8,823.9,135.8,122.1,53.5,628.9,760.6,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,170.0,587.0,Short,+1 deg,n/a,False,65.02,76.10,355.2,24.8,471.2,645.2,435.0,1246.9,812.0,128.0,116.1,49.0,629.7,762.4,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,170.0,587.0,Long,-1 deg,n/a,False,62.18,75.90,338.5,41.5,468.9,646.8,446.0,1280.7,835.8,150.3,132.9,62.0,630.3,745.4,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,170.0,587.0,Long,0 deg,n/a,False,63.18,75.58,341.0,39.0,465.3,649.4,446.0,1269.0,823.9,142.3,127.0,57.3,631.2,747.3,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,170.0,587.0,Long,+1 deg,n/a,False,64.18,75.27,343.4,36.6,461.7,652.0,446.0,1257.3,812.0,134.5,121.0,52.7,632.0,749.1,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Short,-1 deg,n/a,False,62.60,76.32,353.6,26.4,473.6,643.3,435.0,1275.0,840.0,146.9,130.4,60.0,629.1,761.1,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Short,0 deg,n/a,True,63.60,76.00,356.0,24.0,470.0,646.0,435.0,1263.0,828.0,139.0,124.5,55.4,630.0,763.0,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Short,+1 deg,n/a,False,64.60,75.69,358.4,21.6,466.5,648.6,435.0,1251.0,815.9,131.2,118.5,50.8,630.9,764.8,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Long,-1 deg,n/a,False,61.78,75.51,341.6,38.4,464.4,650.0,446.0,1285.3,840.0,153.4,135.2,63.9,631.4,747.7,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Long,0 deg,n/a,False,62.78,75.18,344.1,35.9,460.7,652.7,446.0,1273.4,828.0,145.5,129.4,59.2,632.3,749.7,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
Levo 4 EVO,180.0,597.0,Long,+1 deg,n/a,False,63.77,74.86,346.6,33.4,457.1,655.2,446.0,1261.5,815.9,137.6,123.5,54.6,633.2,751.5,170.0,230 x 62.5,2.720,46-50,27-30%,0.0,0.0
