model,fork_travel,fork_a2c,horst_pivot,headset_cup,shock_extension,is_stock,head_tube_angle,seat_tube_angle,bb_height,bb_drop,reach,stack,chainstay,wheelbase,front_center,trail,mechanical_trail,wheel_flop,effective_top_tube,standover,rear_wheel_travel,shock,leverage_ratio,rear_sag_mm_range,rear_sag_pct_range,fork_sag_applied,rear_sag_applied
Levo 4,160.0,577.0,Short,-1 deg,Short,False,62.58,76.38,313.1,66.4,473.1,643.1,437.0,1254.3,822.0,147.0,130.5,60.1,628.6,715.1,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Short,-1 deg,Long,False,62.99,76.80,319.0,60.5,477.7,639.7,434.1,1252.3,822.0,143.8,128.1,58.2,627.5,721.6,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Short,0 deg,Short,True,63.58,76.08,315.4,64.1,469.7,645.6,437.0,1243.3,810.8,139.1,124.6,55.4,629.4,716.8,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Short,0 deg,Long,False,64.00,76.50,321.2,58.3,474.4,642.2,434.1,1241.4,810.8,135.9,122.1,53.5,628.3,723.4,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Short,+1 deg,Short,False,64.58,75.79,317.6,61.9,466.4,648.0,437.0,1232.4,799.5,131.4,118.7,50.9,630.2,718.6,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Short,+1 deg,Long,False,65.00,76.21,323.4,56.1,471.1,644.6,434.1,1230.4,799.5,128.2,116.1,49.1,629.1,725.1,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,-1 deg,Short,False,61.76,75.56,301.4,78.1,463.8,649.9,449.6,1264.8,822.0,153.6,135.3,64.0,630.8,701.9,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,-1 deg,Long,False,62.17,75.97,307.2,72.3,468.5,646.5,446.4,1262.7,822.0,150.3,132.9,62.1,629.7,708.4,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,0 deg,Short,False,62.76,75.26,303.8,75.7,460.4,652.3,449.6,1253.9,810.8,145.6,129.5,59.3,631.7,703.7,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,0 deg,Long,False,63.17,75.67,309.5,70.0,465.0,649.0,446.4,1251.8,810.8,142.4,127.1,57.4,630.5,710.3,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,+1 deg,Short,False,63.75,74.96,306.1,73.4,457.0,654.7,449.6,1243.1,799.5,137.8,123.6,54.7,632.6,705.5,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,160.0,577.0,Long,+1 deg,Long,False,64.16,75.37,311.8,67.7,461.7,651.4,446.4,1240.9,799.5,134.6,121.1,52.8,631.4,712.0,150.0,210 x 55,2.727,38-45,25-30%,24.0,41.6
Levo 4,170.0,587.0,Short,-1 deg,Short,False,62.24,76.04,315.7,63.8,469.2,646.0,437.0,1258.0,825.4,149.8,132.5,61.7,629.5,717.1,150.0,210 x 55,2.727,38-45,25-30%,25.5,41.6
