model,fork_travel,fork_a2c,horst_pivot,headset_cup,shock_extension,is_stock,head_tube_angle,seat_tube_angle,bb_height,bb_drop,reach,stack,chainstay,wheelbase,front_center,trail,mechanical_trail,wheel_flop,effective_top_tube,standover,rear_wheel_travel,shock,leverage_ratio,rear_sag_mm_range,rear_sag_pct_range,fork_sag_applied,rear_sag_applied
Levo 4,160.0,577.0,Short,-1 deg,Short,False,63.50,77.30,347.7,31.8,483.4,635.5,435.0,1265.5,831.6,139.8,125.1,55.8,626.2,751.2,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Short,-1 deg,Long,False,63.91,77.71,353.6,25.9,487.9,632.0,433.0,1263.7,831.6,136.6,122.7,53.9,625.3,757.8,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Short,0 deg,Short,True,64.50,77.00,350.0,29.5,480.0,638.0,435.0,1254.0,820.0,132.0,119.1,51.3,627.0,753.0,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Short,0 deg,Long,False,64.91,77.41,355.9,23.6,484.6,634.5,433.0,1252.2,820.0,128.8,116.7,49.5,626.0,759.6,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Short,+1 deg,Short,False,65.50,76.71,352.2,27.3,476.7,640.5,435.0,1242.5,808.4,124.3,113.1,46.9,627.7,754.7,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Short,+1 deg,Long,False,65.92,77.12,358.1,21.4,481.4,637.0,433.0,1240.6,808.4,121.2,110.6,45.1,626.7,761.3,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Long,-1 deg,Short,False,62.68,76.48,335.8,43.7,474.2,642.3,446.0,1275.7,831.6,146.3,129.9,59.6,628.3,737.9,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Long,-1 deg,Long,False,63.08,76.89,341.7,37.8,478.7,639.0,443.6,1273.8,831.6,143.1,127.6,57.7,627.3,744.5,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Long,0 deg,Short,False,63.67,76.17,338.2,41.3,470.7,644.9,446.0,1264.3,820.0,138.4,124.1,55.0,629.2,739.8,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
Levo 4,160.0,577.0,Long,0 deg,Long,False,64.08,76.58,344.0,35.5,475.3,641.5,443.6,1262.3,820.0,135.2,121.6,53.2,628.1,746.3,150.0,210 x 55,2.727,38-45,25-30%,0.0,0.0
